src_id	tgt_id	src_label	tgt_label	j_label	b_label	j_pooled	b_pooled	j_max_syn	b_max_syn	n_inter_pooled	n_union_pooled
mondo:0016295	mesh:D009472	neuronal ceroid lipofuscinosis	Neuronal Ceroid-Lipofuscinoses	0.500000	medium	0.090909	low	1.000000	high	4	44
mondo:0005161	mesh:D030361	human papilloma virus infection	Papillomavirus Infections	0.000000	zero	0.250000	low	1.000000	high	3	12
mondo:0005684	mesh:D011052	bulbar polio	Poliomyelitis, Bulbar	0.333333	medium	1.000000	high	1.000000	high	5	5
mondo:0018871	mesh:D015479	acute myelomonocytic leukemia M4	Leukemia, Myelomonocytic, Acute	0.750000	high	0.400000	medium	1.000000	high	6	15
mondo:0025303	mesh:D000712	obsolete anaplasmosis	Anaplasmosis	0.500000	medium	0.111111	low	0.500000	medium	1	9
mondo:0021943	mesh:D014375	tuberculoma	Tuberculoma	1.000000	high	1.000000	high	1.000000	high	1	1
mondo:0024275	mesh:D004404	amebic dysentery	Dysentery, Amebic	1.000000	high	0.833333	high	1.000000	high	15	18
mondo:0001163	mesh:D010260	paranoid personality disorder		0.000000	zero	0.000000	zero	0.000000	zero	0	3
mondo:0018037	mesh:D007589	hyper-IgE syndrome	Job Syndrome	0.250000	low	0.400000	medium	1.000000	high	8	20
mondo:0005090	mesh:D012559	schizophrenia		0.000000	zero	0.000000	zero	0.000000	zero	0	14
mondo:0044083	mesh:D060487	alternariosis	Alternariosis	1.000000	high	1.000000	high	1.000000	high	5	5
mondo:0007082	mesh:C566303	alopecia areata 1		0.000000	zero	0.000000	zero	0.000000	zero	0	5
mondo:0012522	mesh:C566432	diabetes mellitus, transient neonatal, 3		0.000000	zero	0.000000	zero	0.000000	zero	0	16
mondo:0004712	mesh:D007617	herpes simplex dermatitis	Kaposi Varicelliform Eruption	0.000000	zero	0.111111	low	1.000000	high	2	18
mondo:0000748	mesh:D008417	mastoiditis	Mastoiditis	1.000000	high	0.100000	low	1.000000	high	1	10
mondo:0005287	mesh:D002658	developmental disability		0.000000	zero	0.000000	zero	0.000000	zero	0	2
mondo:0019380	mesh:D020241	western equine encephalitis	Encephalomyelitis, Western Equine	0.500000	medium	0.500000	medium	1.000000	high	4	8
mondo:0041161	mesh:D004714	obsolete endometrial hyperplasia	Endometrial Hyperplasia	0.666667	high	0.200000	low	1.000000	high	2	10
mondo:0017388	mesh:D000074742	celiac trunk compression syndrome	Median Arcuate Ligament Syndrome	0.142857	low	0.571429	medium	1.000000	high	8	14
mondo:0005878	mesh:D015827	ocular onchocerciasis	Onchocerciasis, Ocular	1.000000	high	0.200000	low	1.000000	high	2	10
mondo:0005383	mesh:D016584	panic disorder		0.000000	zero	0.000000	zero	0.000000	zero	0	4
mondo:0044345	mesh:D012555	Schistosoma mansoni infectious disease	Schistosomiasis mansoni	0.200000	low	0.250000	low	1.000000	high	3	12
mondo:0005697	mesh:D016781	cerebral toxoplasmosis	Toxoplasmosis, Cerebral	1.000000	high	0.142857	low	1.000000	high	2	14
mondo:0025382	mesh:D001357	sarcoma, avian	Sarcoma, Avian	1.000000	high	1.000000	high	1.000000	high	4	4
mondo:0007404	mesh:D003410	Cri-du-chat syndrome	Cri-du-Chat Syndrome	1.000000	high	0.684211	high	1.000000	high	13	19
mondo:0005654	mesh:D001196	ascariasis	Ascariasis	1.000000	high	0.250000	low	1.000000	high	3	12
mondo:0013189	mesh:D014256	trichotillomania		0.000000	zero	0.000000	zero	0.000000	zero	0	3
mondo:0007013	mesh:D018783	vasculogenic impotence	Impotence, Vasculogenic	1.000000	high	0.285714	low	1.000000	high	2	7
mondo:0016607	mesh:C564146	odontohypophosphatasia		0.000000	zero	0.000000	zero	0.000000	zero	0	4
mondo:0005776	mesh:D058429	gnathomiasis	Gnathostomiasis	0.000000	zero	0.333333	medium	1.000000	high	3	9
mondo:0005609	mesh:D006562	herpes zoster	Herpes Zoster	1.000000	high	0.666667	high	1.000000	high	4	6
