src_id	tgt_id	src_label	tgt_label	j_label	b_label	j_pooled	b_pooled	j_max_syn	b_max_syn	n_inter_pooled	n_union_pooled
mesh:D009472	mondo:0016295	Neuronal Ceroid-Lipofuscinoses	neuronal ceroid lipofuscinosis	0.500000	medium	0.090909	low	1.000000	high	4	44
mesh:D030361	mondo:0005161	Papillomavirus Infections	human papilloma virus infection	0.000000	zero	0.250000	low	1.000000	high	3	12
mesh:D011052	mondo:0005684	Poliomyelitis, Bulbar	bulbar polio	0.333333	medium	1.000000	high	1.000000	high	5	5
mesh:D015479	mondo:0018871	Leukemia, Myelomonocytic, Acute	acute myelomonocytic leukemia M4	0.750000	high	0.400000	medium	1.000000	high	6	15
mesh:D000712	mondo:0025303	Anaplasmosis	obsolete anaplasmosis	0.500000	medium	0.111111	low	0.500000	medium	1	9
mesh:D014375	mondo:0021943	Tuberculoma	tuberculoma	1.000000	high	1.000000	high	1.000000	high	1	1
mesh:D004404	mondo:0024275	Dysentery, Amebic	amebic dysentery	1.000000	high	0.833333	high	1.000000	high	15	18
mesh:D010260	mondo:0001163		paranoid personality disorder	0.000000	zero	0.000000	zero	0.000000	zero	0	3
mesh:D007589	mondo:0018037	Job Syndrome	hyper-IgE syndrome	0.250000	low	0.400000	medium	1.000000	high	8	20
mesh:D012559	mondo:0005090		schizophrenia	0.000000	zero	0.000000	zero	0.000000	zero	0	14
mesh:D060487	mondo:0044083	Alternariosis	alternariosis	1.000000	high	1.000000	high	1.000000	high	5	5
mesh:C566303	mondo:0007082		alopecia areata 1	0.000000	zero	0.000000	zero	0.000000	zero	0	5
mesh:C566432	mondo:0012522		diabetes mellitus, transient neonatal, 3	0.000000	zero	0.000000	zero	0.000000	zero	0	16
mesh:D007617	mondo:0004712	Kaposi Varicelliform Eruption	herpes simplex dermatitis	0.000000	zero	0.111111	low	1.000000	high	2	18
mesh:D008417	mondo:0000748	Mastoiditis	mastoiditis	1.000000	high	0.100000	low	1.000000	high	1	10
mesh:D002658	mondo:0005287		developmental disability	0.000000	zero	0.000000	zero	0.000000	zero	0	2
