src_id	tgt_id	src_label	tgt_label	j_label	b_label	j_pooled	b_pooled	j_max_syn	b_max_syn	n_inter_pooled	n_union_pooled
mp:0003622	hp:0000016	ischuria	Urinary retention	0.000000	zero	0.153846	low	1.000000	high	2	13
mp:0006077	hp:0000023	inguinal hernia	Inguinal hernia	1.000000	high	1.000000	high	1.000000	high	2	2
mp:0002286	hp:0000028	cryptorchism	Cryptorchidism	0.000000	zero	0.444444	medium	1.000000	high	4	9
mp:0009198	hp:0000033	abnormal male genitalia morphology	Ambiguous genitalia, male	0.400000	medium	0.166667	low	0.400000	medium	2	12
mp:0003623	hp:0000034	hydrocele	Hydrocele testis	0.500000	medium	0.666667	high	1.000000	high	2	3
mp:0003598	hp:0000039	epispadia	Epispadias	0.000000	zero	0.000000	zero	0.000000	zero	0	5
mp:0003555	hp:0000041	chordee	Chordee	1.000000	high	0.714286	high	1.000000	high	5	7
mp:0003124	hp:0000047	hypospadia	Hypospadias	0.000000	zero	0.000000	zero	0.000000	zero	0	3
mp:0003612	hp:0000048	bifid scrotum	Bifid scrotum	1.000000	high	0.500000	medium	1.000000	high	3	6
mp:0002669	hp:0000049	abnormal scrotum morphology	Shawl scrotum	0.250000	low	0.090909	low	0.333333	medium	1	11
mp:0005188	hp:0000054	small penis	Micropenis	0.000000	zero	0.428571	medium	1.000000	high	3	7
mp:0011767	hp:0000070	ureterocele	Ureterocele	1.000000	high	0.400000	medium	1.000000	high	2	5
mp:0011491	hp:0000074	ureteropelvic junction obstruction	Ureteropelvic junction obstruction	1.000000	high	0.800000	high	1.000000	high	4	5
mp:0004017	hp:0000075	duplex kidney	Renal duplication	0.000000	zero	0.222222	low	1.000000	high	2	9
mp:0005367	hp:0000077	renal/urinary system phenotype	Abnormality of the kidney	0.000000	zero	0.090909	low	0.200000	low	1	11
mp:0005367	hp:0000079	renal/urinary system phenotype	Abnormality of the urinary system	0.285714	low	0.200000	low	0.285714	low	2	10
mp:0011803	hp:0000081	double kidney pelvis	Duplicated collecting system	0.000000	zero	0.250000	low	0.250000	low	4	16
mp:0003606	hp:0000083	kidney failure	Renal insufficiency	0.000000	zero	0.500000	medium	1.000000	high	3	6
mp:0003605	hp:0000085	fused kidneys	Horseshoe kidney	0.000000	zero	0.444444	medium	1.000000	high	4	9
