src_id	tgt_id	src_label	tgt_label	j_label	b_label	j_pooled	b_pooled	j_max_syn	b_max_syn	n_inter_pooled	n_union_pooled
hp:0000016	mp:0003622	Urinary retention	ischuria	0.000000	zero	0.153846	low	1.000000	high	2	13
hp:0000023	mp:0006077	Inguinal hernia	inguinal hernia	1.000000	high	1.000000	high	1.000000	high	2	2
hp:0000028	mp:0002286	Cryptorchidism	cryptorchism	0.000000	zero	0.444444	medium	1.000000	high	4	9
hp:0000033	mp:0009198	Ambiguous genitalia, male	abnormal male genitalia morphology	0.400000	medium	0.166667	low	0.400000	medium	2	12
hp:0000034	mp:0003623	Hydrocele testis	hydrocele	0.500000	medium	0.666667	high	1.000000	high	2	3
hp:0000039	mp:0003598	Epispadias	epispadia	0.000000	zero	0.000000	zero	0.000000	zero	0	5
hp:0000041	mp:0003555	Chordee	chordee	1.000000	high	0.714286	high	1.000000	high	5	7
hp:0000047	mp:0003124	Hypospadias	hypospadia	0.000000	zero	0.000000	zero	0.000000	zero	0	3
hp:0000048	mp:0003612	Bifid scrotum	bifid scrotum	1.000000	high	0.500000	medium	1.000000	high	3	6
hp:0000049	mp:0002669	Shawl scrotum	abnormal scrotum morphology	0.250000	low	0.090909	low	0.333333	medium	1	11
hp:0000054	mp:0005188	Micropenis	small penis	0.000000	zero	0.428571	medium	1.000000	high	3	7
hp:0000070	mp:0011767	Ureterocele	ureterocele	1.000000	high	0.400000	medium	1.000000	high	2	5
hp:0000074	mp:0011491	Ureteropelvic junction obstruction	ureteropelvic junction obstruction	1.000000	high	0.800000	high	1.000000	high	4	5
hp:0000075	mp:0004017	Renal duplication	duplex kidney	0.000000	zero	0.222222	low	1.000000	high	2	9
hp:0000077	mp:0005367	Abnormality of the kidney	renal/urinary system phenotype	0.000000	zero	0.090909	low	0.200000	low	1	11
hp:0000079	mp:0005367	Abnormality of the urinary system	renal/urinary system phenotype	0.285714	low	0.200000	low	0.285714	low	2	10
hp:0000081	mp:0011803	Duplicated collecting system	double kidney pelvis	0.000000	zero	0.250000	low	0.250000	low	4	16
hp:0000083	mp:0003606	Renal insufficiency	kidney failure	0.000000	zero	0.500000	medium	1.000000	high	3	6
hp:0000085	mp:0003605	Horseshoe kidney	fused kidneys	0.000000	zero	0.444444	medium	1.000000	high	4	9
hp:0000086	mp:0003600	Ectopic kidney	ectopic kidney	1.000000	high	0.571429	medium	1.000000	high	4	7
hp:0000089	mp:0003446	Renal hypoplasia	renal hypoplasia	1.000000	high	0.428571	medium	1.000000	high	3	7
hp:0000093	mp:0002962	Proteinuria	increased urine protein level	0.000000	zero	0.333333	medium	1.000000	high	3	9
hp:0000104	mp:0000520	Renal agenesis	absent kidney	0.000000	zero	0.400000	medium	1.000000	high	4	10
hp:0000104	mp:0003604	Renal agenesis	single kidney	0.000000	zero	0.375000	medium	0.666667	high	3	8
hp:0000105	mp:0003068	Enlarged kidney	enlarged kidney	1.000000	high	0.555556	medium	1.000000	high	5	9
hp:0000107	mp:0003675	Renal cyst	kidney cyst	0.333333	medium	0.666667	high	1.000000	high	4	6
hp:0000110	mp:0000527	Renal dysplasia	abnormal kidney development	0.000000	zero	0.100000	low	0.250000	low	1	10
hp:0000110	mp:0002135	Renal dysplasia	abnormal kidney morphology	0.000000	zero	0.181818	low	1.000000	high	2	11
hp:0000113	mp:0008528	Polycystic kidney dysplasia	polycystic kidney	0.666667	high	0.444444	medium	1.000000	high	4	9
hp:0000118	mp:0000001	Phenotypic abnormality	mammalian phenotype	0.000000	zero	0.000000	zero	0.000000	zero	0	5
hp:0000122	mp:0003604	Unilateral renal agenesis	single kidney	0.000000	zero	0.500000	medium	1.000000	high	5	10
hp:0000123	mp:0001859	Nephritis	kidney inflammation	0.000000	zero	0.750000	high	1.000000	high	3	4
hp:0000125	mp:0011361	Pelvic kidney	pelvic kidney	1.000000	high	0.333333	medium	1.000000	high	2	6
hp:0000126	mp:0000519	Hydronephrosis	hydronephrosis	1.000000	high	0.166667	low	1.000000	high	2	12
